#	X(mm)	XP(mrad)	Y(mm)	YP(mrad)	Z(mm)	W(MeV)
0.126	0.151	0.003	-0.035	-105.01	71.881
-0.102	-0.277	-0.922	-1.073	-189.05	71.998
0.086	0.216	0.062	0.158	-159.75	71.959
0.062	0.152	0.417	0.34	256.27	71.39
-0.166	0.416	-0.795	-0.965	51.1	71.668
-0.148	-0.228	-0.033	-0.063	-188.91	71.998
0.14	-0.024	0.632	0.589	-42.79	71.795
0.193	0.007	0.429	0.488	-45.19	71.799
0.103	0.425	0.21	0.197	-60.61	71.82
-0.048	-0.298	0.667	0.792	-191.76	72.002
-0.127	0.409	0.992	1.07	-132.8	71.918
-0.116	0.205	-0.811	-0.984	-21.42	71.766
-0.095	0.418	-0.145	-0.03	-214.7	72.032
-0.226	0.809	-0.834	-0.866	-146.93	71.938
-0.055	0.488	0.58	0.606	-213.09	72.029
0.006	0.342	0.197	0.283	-214.3	72.033
0.055	-0.037	1.135	1.203	-234.04	72.058
-0.041	0.464	-0.544	-0.59	-231.78	72.056
0.224	-1.238	0.621	0.681	-268.67	72.106
0.105	-0.785	0.853	0.876	-272.48	72.111
0.025	-0.469	0.661	0.686	-239.97	72.067
-0.091	-0.076	-0.282	-0.298	-215.08	72.032
0.094	0.126	0.595	0.979	281.15	71.355
0.037	-0.159	0.826	0.981	-55.16	71.812
0.249	0.349	-0.146	-0.465	313.93	71.31
-0.109	0.068	0.146	0.233	-212.68	72.029
0.068	0.043	0.097	0.156	-211.79	72.028
-0.155	1.245	-0.43	-0.433	-263.82	72.101
-0.235	1.353	0.046	0.029	-271.0	72.11
-0.126	-0.004	-0.154	-0.112	-252.23	72.084
-0.004	0.098	-0.867	-1.046	-92.89	71.863
-0.008	0.514	-0.496	-0.512	-231.9	72.056
-0.103	-0.458	-0.378	-0.306	-8.93	71.749
-0.047	-0.314	-0.216	-0.131	-227.98	72.051
-0.117	-0.377	-0.318	-0.259	-65.58	71.827
0.075	-0.9	0.041	0.051	-242.24	72.071
-0.111	-0.076	-0.865	-0.93	6.42	71.728
-0.098	0.374	0.328	0.451	-222.12	72.044
-0.161	-1.282	0.123	0.012	179.48	71.494
0.155	0.147	-0.372	-0.365	-31.78	71.781
-0.162	-0.079	0.563	0.582	9.92	71.724
-0.092	-0.157	0.009	0.043	-240.95	72.068
0.047	-0.593	0.986	1.127	-42.38	71.795
-0.337	1.322	-0.762	-0.885	-276.85	72.117
-0.081	0.382	0.446	0.517	-233.2	72.058
0.111	-0.629	0.183	0.102	-212.62	72.029
0.096	0.31	0.016	0.059	-144.33	71.934
0.11	-0.95	-0.503	-0.586	-276.91	72.119
-0.155	0.365	0.606	0.692	-148.29	71.939
0.219	-0.438	-0.369	-0.196	-149.24	71.941
-0.073	0.732	-0.378	-0.453	-247.71	72.078
0.2	-0.585	0.356	0.509	-227.9	72.049
0.277	-0.641	-0.653	-0.777	-62.83	71.822
-0.092	0.196	-0.031	-0.153	-216.08	72.035
-0.081	-0.161	-0.87	-0.913	-25.96	71.772
0.078	-0.639	0.878	0.955	-107.11	71.883
-0.237	0.901	0.136	0.084	-225.36	72.046
-0.082	0.616	0.954	1.176	-16.18	71.759
0.002	-0.016	0.828	1.011	-38.74	71.79
0.371	-1.311	-0.813	-0.936	-267.71	72.105
0.275	-1.392	0.337	0.34	-271.76	72.111
-0.174	1.074	0.719	0.774	-273.42	72.113
0.117	-0.286	0.66	0.658	-121.69	71.903
-0.2	0.148	0.353	0.452	-120.93	71.902
0.081	0.177	-0.943	-1.061	12.46	71.72
-0.179	0.234	-0.238	-0.162	-116.16	71.896
-0.004	0.431	-0.953	-1.177	31.18	71.695
-0.078	0.098	-0.711	-0.803	-148.98	71.94
0.108	-0.111	0.263	0.138	-211.5	72.028
0.321	-0.978	0.769	0.817	-144.69	71.934
0.279	-0.915	0.729	0.691	-183.36	71.988
-0.017	0.094	-0.85	-1.077	54.75	71.663
0.087	-0.493	0.528	0.581	-238.18	72.064
-0.116	0.92	0.712	0.756	-264.15	72.1
-0.042	-0.11	-0.666	-0.704	-127.25	71.911
-0.108	-0.554	-0.067	-0.107	-44.1	71.797
0.013	-0.57	-0.546	-0.495	-230.63	72.054
0.1	0.129	-0.269	-0.181	-219.94	72.039
-0.157	0.84	0.722	0.745	-183.41	71.988
-0.057	-0.695	-0.327	-0.229	-42.39	71.795
-0.074	0.31	0.906	0.96	-131.67	71.917
-0.093	0.132	-0.452	-0.457	234.24	71.42
-0.002	0.426	0.092	0.009	-219.58	72.039
0.018	-0.048	-1.03	-1.105	-231.56	72.055
-0.143	0.405	-0.378	-0.481	-262.72	72.099
-0.142	-1.247	-0.186	-0.191	107.33	71.592
-0.189	0.87	-0.936	-1.057	-112.21	71.89
0.115	-0.061	-0.305	-0.377	-257.91	72.092
0.113	0.498	0.239	0.219	-15.84	71.759
0.117	-0.843	-0.778	-0.77	-183.68	71.988
-0.132	0.862	0.05	0.113	-237.86	72.064
-0.073	0.516	-0.564	-0.524	-186.3	71.992
0.288	-0.684	0.434	0.356	-137.99	71.925
0.187	-0.931	0.468	0.532	-256.3	72.089
0.003	0.566	-0.469	-0.352	-227.35	72.049
0.022	0.778	-0.589	-0.669	-253.58	72.087
-0.227	0.798	0.828	1.042	-10.21	71.751
0.136	0.22	-0.38	-0.43	-76.5	71.841
0.147	0.17	0.193	0.384	-94.2	71.865
0.3	-0.854	0.421	0.363	-173.28	71.974
0.142	-0.245	-0.771	-0.89	-12.57	71.754
0.186	-1.1	0.242	0.361	-275.89	72.117
0.004	-0.209	0.478	0.546	-222.57	72.043
-0.244	0.73	-0.228	-0.236	-202.48	72.015
-0.126	0.695	0.808	0.925	-148.05	71.939
0.388	-0.986	-0.744	-0.801	-119.29	71.9
0.296	-0.27	0.047	0.014	-54.43	71.811
0.228	-1.138	-0.63	-0.614	-228.52	72.05
-0.113	0.636	0.324	0.283	-201.23	72.013
0.112	-0.09	0.281	0.367	-251.8	72.083
-0.112	0.639	-0.338	-0.395	-230.08	72.053
0.197	-1.125	0.568	0.506	-242.32	72.07
-0.074	-0.09	0.106	0.15	-213.28	72.03
0.119	-0.563	-0.808	-0.821	-255.23	72.087
-0.083	0.033	-0.306	-0.415	-197.55	72.01
-0.011	0.018	-0.735	-0.706	-165.81	71.964
-0.03	-0.488	0.887	1.012	-226.05	72.049
-0.198	0.364	0.411	0.535	-150.28	71.942
-0.277	1.154	0.548	0.49	-230.44	72.053
-0.122	0.01	-0.018	-0.106	-156.11	71.951
-0.224	0.843	-0.846	-1.025	-69.42	71.832
0.097	0.127	0.009	-0.06	-172.91	71.974
-0.033	0.284	1.281	1.511	-172.63	71.975
0.022	0.145	-0.137	-0.078	-197.31	72.008
0.053	-0.649	0.501	0.557	-245.03	72.074
0.007	0.336	-0.743	-0.766	-115.62	71.895
0.233	0.579	0.222	0.568	322.31	71.299
-0.125	-0.005	-0.373	-0.399	-209.49	72.024
0.068	-0.172	-0.026	-0.133	-215.55	72.034
0.083	0.128	-0.827	-0.95	-198.51	72.011
-0.106	-0.002	0.787	0.904	-45.57	71.799
0.214	-0.876	-0.57	-0.617	-207.89	72.022
0.238	-0.718	0.743	0.724	-130.26	71.915
0.015	-0.287	0.87	1.038	-26.83	71.774
-0.125	0.285	-0.224	-0.358	-248.54	72.079
-0.051	0.388	0.795	0.835	-241.05	72.067
0.027	-1.126	-0.448	-0.446	-58.46	71.818
-0.086	0.357	-0.345	-0.403	-214.91	72.032
-0.192	0.426	-0.319	-0.163	-158.51	71.954
-0.047	-0.364	0.241	0.247	-232.63	72.057
0.033	-0.126	-1.282	-1.488	-178.27	71.983
-0.036	-0.486	-0.059	-0.023	-233.12	72.058
0.225	-0.445	0.571	0.652	-67.27	71.829
0.021	-0.117	-0.632	-0.689	-210.67	72.026
0.075	-0.215	0.118	0.206	-213.83	72.031
0.334	-0.941	-0.754	-0.85	-95.18	71.867
0.05	0.644	0.562	0.637	-252.44	72.085
-0.081	-0.008	-0.164	-0.21	-204.98	72.018
0.103	0.119	-0.369	-0.375	-132.34	71.918
0.099	-0.79	-0.764	-0.799	-254.7	72.086
-0.147	0.552	0.731	0.885	97.11	71.606
0.264	-0.928	-0.851	-1.046	-50.71	71.806
-0.07	0.213	-0.584	-0.637	-161.54	71.958
0.097	-0.741	0.701	0.735	-261.36	72.096
-0.181	0.228	-0.7	-0.723	10.55	71.723
-0.116	0.719	-0.138	-0.081	-217.65	72.036
0.099	0.376	0.001	0.173	-92.23	71.863
0.072	0.378	0.023	0.132	-253.93	72.087
-0.151	0.245	0.258	0.191	-135.82	71.923
0.003	-0.859	-0.06	0.012	-262.95	72.1
-0.154	1.036	-0.428	-0.372	-238.94	72.065
-0.096	0.036	0.117	0.205	-214.49	72.032
0.205	-0.596	0.783	0.956	13.36	71.719
0.217	-0.404	0.687	0.762	15.91	71.716
0.081	-0.25	0.638	0.569	-181.64	71.986
0.17	-0.653	-0.851	-0.963	-78.55	71.844
0.155	-0.561	0.828	0.996	-20.74	71.766
-0.138	-0.02	0.44	0.27	-77.99	71.843
0.119	-0.268	-0.626	-0.597	-123.73	71.906
-0.137	0.521	0.69	0.648	-163.78	71.961
-0.006	0.062	-0.019	0.406	264.41	71.377
-0.008	-0.633	-0.081	-0.165	-245.56	72.076
-0.089	0.314	0.578	0.557	-147.64	71.939
-0.055	0.621	-0.55	-0.472	-212.3	72.028
0.133	0.547	0.377	0.345	34.3	71.691
-0.066	-0.243	0.794	0.827	-35.9	71.786
-0.23	0.366	0.392	0.342	-92.57	71.863
0.183	-0.422	-0.322	-0.247	-134.77	71.921
-0.106	0.158	0.783	0.886	-29.44	71.777
0.11	0.155	0.174	0.044	-111.87	71.89
0.084	-0.184	0.643	0.606	-143.75	71.934
0.091	0.188	0.104	0.062	-246.81	72.076
-0.123	0.009	-0.336	-0.425	-261.03	72.097
0.208	-0.758	-0.013	-0.039	-204.76	72.018
0.016	-0.133	0.324	0.422	-211.05	72.028
0.172	-0.074	0.601	0.687	-24.13	71.77
0.148	-0.841	0.741	0.768	-172.09	71.972
0.019	0.084	-0.667	-0.74	-177.37	71.98
-0.244	0.869	0.014	-0.161	-230.87	72.054
-0.072	0.072	-0.272	-0.315	-201.05	72.013
-0.093	0.142	0.726	0.656	-176.73	71.979
-0.053	0.026	0.872	0.873	-262.9	72.098
-0.039	-0.778	0.438	0.345	-23.94	71.771
0.068	0.194	-0.522	-0.395	-160.66	71.957
-0.019	-0.1	0.073	-0.034	-198.58	72.011
-0.2	0.897	-0.53	-0.425	-207.34	72.02
-0.088	0.094	0.865	1.061	1.24	71.735
0.203	-0.347	0.356	0.448	-127.76	71.911
0.06	0.122	0.012	0.086	-217.21	72.036
-0.109	-0.212	0.097	-0.037	-102.43	71.877
0.103	0.385	-0.179	-0.042	-44.21	71.797
-0.164	0.266	0.542	0.478	-87.47	71.856
0.084	-0.063	1.304	1.494	-187.08	71.995
0.292	-1.206	0.767	0.846	-243.07	72.069
-0.058	0.399	0.602	0.604	-156.44	71.951
-0.021	0.119	0.877	1.071	-0.04	71.737
-0.125	-0.031	-0.227	-0.366	-174.28	71.975
-0.002	-0.37	-0.716	-0.769	-243.8	72.073
0.151	0.056	-0.544	-0.57	-11.04	71.752
0.172	-0.283	0.222	0.087	-133.89	71.92
0.147	0.399	-0.243	-0.317	-16.56	71.76
-0.211	1.004	-0.184	-0.265	-248.95	72.079
-0.082	0.186	0.442	0.48	-181.7	71.986
0.062	-0.728	-0.844	-0.927	-271.51	72.111
-0.01	-0.168	0.609	0.644	-234.66	72.059
0.451	-1.305	-0.402	-0.371	-254.31	72.085
-0.16	0.497	-0.726	-0.747	-97.37	71.87
-0.442	1.246	-0.743	-0.812	-237.6	72.062
-0.188	0.656	-0.483	-0.594	-228.28	72.05
0.038	-0.095	-0.744	-0.768	-114.18	71.893
-0.006	-0.275	0.598	0.624	-239.15	72.065
-0.199	0.148	-0.456	-0.58	-61.9	71.821
0.093	-0.303	-0.167	-0.029	-216.73	72.035
0.082	0.115	-0.713	-0.705	-258.99	72.093
-0.061	-0.289	-0.139	-0.134	-238.23	72.065
0.069	0.244	-0.278	-0.252	-239.93	72.067
-0.011	-0.108	-0.732	-0.847	-202.12	72.016
-0.036	-0.523	0.182	0.22	-240.69	72.069
0.144	-0.777	0.13	0.161	-221.1	72.041
-0.03	0.229	0.838	1.044	63.16	71.652
-0.011	0.289	0.077	0.074	-195.41	72.005
0.067	0.208	-0.861	-0.982	-19.11	71.763
0.086	-0.818	-0.341	-0.348	-239.97	72.067
-0.114	0.091	0.7	0.727	-53.06	71.809
-0.149	-0.064	-0.305	-0.395	-79.49	71.845
-0.092	0.367	0.498	0.559	-245.49	72.075
-0.192	0.619	-0.197	-0.138	-173.16	71.974
0.051	-0.368	-0.088	0.034	-217.28	72.036
0.133	-0.538	-0.55	-0.616	-206.57	72.02
0.167	-0.906	0.46	0.573	-283.48	72.127
-0.127	-0.346	0.093	0.04	-33.48	71.783
-0.021	0.375	-0.849	-0.986	-47.94	71.802
0.015	-0.305	0.551	0.592	-235.88	72.061
-0.073	-0.189	0.301	0.295	-217.74	72.036
0.087	-0.085	0.094	0.1	-177.76	71.981
-0.087	0.431	0.618	0.698	-250.06	72.081
0.037	0.282	-0.281	-0.308	-230.04	72.053
-0.057	0.327	0.841	0.962	-56.16	71.814
-0.084	0.222	-0.236	-0.338	-231.22	72.055
0.052	-0.512	0.868	1.1	56.78	71.66
0.164	-0.112	0.165	0.296	-123.6	71.906
-0.045	-0.137	-0.265	-0.117	257.9	71.388
0.219	-0.773	-0.14	-0.172	-202.97	72.015
0.233	-1.388	0.258	0.349	-282.94	72.126
-0.197	0.312	-0.534	-0.645	-80.19	71.846
-0.009	0.174	-0.527	-0.486	-162.91	71.96
0.088	-0.919	0.348	0.384	-255.36	72.089
0.136	-0.39	-0.622	-0.709	-130.68	71.915
0.103	-0.593	-0.751	-0.858	-167.01	71.965
-0.125	0.648	0.359	0.487	-265.58	72.103
-0.203	0.426	0.026	0.086	-152.13	71.945
0.147	0.084	0.452	0.415	-14.04	71.756
0.001	-0.39	-0.612	-0.63	-220.42	72.039
0.136	0.117	-0.277	-0.162	-51.71	71.808
0.104	-0.767	0.929	0.975	-285.38	72.129
0.106	-0.312	0.053	-0.009	-184.51	71.99
0.103	0.088	-0.468	-0.48	-103.06	71.878
0.075	-0.203	-0.346	-0.329	-165.67	71.964
-0.203	0.221	0.459	0.465	-28.79	71.776
-0.088	0.257	0.748	0.848	-225.83	72.048
-0.009	-0.406	-0.188	-0.306	-218.3	72.038
0.082	-0.18	0.691	0.773	-182.4	71.986
0.14	0.216	-0.481	-0.408	22.43	71.707
0.124	-0.045	0.873	0.961	35.12	71.69
-0.092	-0.302	0.184	0.14	-112.43	71.891
-0.095	-0.063	0.549	0.56	-92.15	71.863
0.098	0.126	0.15	0.238	-185.33	71.991
0.134	0.276	0.421	0.336	10.03	71.724
-0.018	0.069	-0.165	-0.252	-213.8	72.031
0.162	-0.192	-0.605	-0.581	-34.62	71.784
0.016	-0.605	0.176	0.08	-236.43	72.062
-0.154	-0.608	0.115	0.132	38.3	71.686
-0.133	1.131	-0.612	-0.642	-269.79	72.108
0.079	-0.07	0.81	0.936	-6.73	71.746
0.191	-0.182	0.422	0.421	-38.45	71.79
-0.101	-0.515	-0.144	-0.013	-18.32	71.762
-0.05	-0.197	0.793	0.885	-226.18	72.049
0.294	-0.698	-0.588	-0.692	-87.43	71.856
0.176	-0.37	-0.467	-0.5	-104.42	71.88
0.202	-0.427	-0.135	-0.331	-181.17	71.985
-0.094	0.556	-0.644	-0.709	-210.96	72.026
0.277	-1.194	-0.171	-0.055	-246.71	72.075
0.125	-0.422	-0.551	-0.599	-145.71	71.936
0.109	-0.095	0.041	0.116	-176.72	71.979
-0.244	0.894	0.05	0.155	-223.2	72.043
0.453	-1.232	0.843	0.94	-230.83	72.052
-0.03	0.575	-0.547	-0.484	-185.94	71.992
0.108	-0.273	-0.648	-0.728	-104.38	71.879
0.081	0.31	-0.249	-0.248	-251.42	72.083
0.036	-0.406	0.866	1.189	68.03	71.645
-0.201	0.114	-0.447	-0.497	-15.79	71.759
0.074	0.237	0.031	-0.092	-215.71	72.033
-0.069	0.692	-0.203	-0.35	-258.96	72.094
-0.018	0.085	-0.236	-0.861	253.2	71.393
0.005	-0.401	0.643	0.667	-152.31	71.945
-0.126	-0.172	-0.428	-0.469	-78.23	71.844
-0.17	0.115	-0.223	-0.281	-92.39	71.863
-0.056	0.409	0.753	0.74	-150.93	71.944
-0.166	0.291	0.327	0.451	-161.81	71.958
-0.101	-0.407	0.013	-0.034	-66.53	71.828
0.037	-0.566	0.687	0.723	-264.15	72.1
-0.12	0.955	0.285	0.321	-250.76	72.082
-0.123	0.027	0.432	0.509	-264.76	72.102
0.07	0.181	-0.862	-0.984	2.87	71.733
0.005	0.38	0.537	0.541	-197.15	72.007
-0.315	1.059	-0.686	-0.762	-184.14	71.988
-0.214	0.824	0.388	0.421	-198.48	72.009
0.217	-0.599	-0.397	-0.353	-128.01	71.912
-0.032	0.26	0.411	0.447	-196.75	72.007
-0.154	-0.54	-0.272	-0.389	2.19	71.735
0.226	-0.526	-0.668	-0.817	-48.63	71.803
0.07	-0.744	0.661	0.632	-179.66	71.983
-0.041	0.345	-0.629	-0.674	-144.54	71.935
-0.073	-0.186	0.028	-0.284	292.17	71.341
-0.075	-0.183	0.418	0.437	-259.58	72.094
-0.26	0.634	0.417	0.384	-109.64	71.887
0.168	-0.706	-0.117	-0.032	-198.94	72.01
0.042	-0.276	-0.672	-0.76	-165.45	71.963
0.21	-0.532	-0.637	-0.621	-68.12	71.83
-0.223	0.946	-0.74	-0.712	-194.38	72.003
0.01	-0.085	-0.854	-1.061	36.49	71.688
0.133	0.377	0.246	0.171	1.14	71.736
0.223	-0.805	-0.211	-0.369	-228.92	72.051
-0.093	0.229	0.509	0.442	-151.42	71.944
-0.032	0.359	-0.425	-0.469	-219.33	72.038
0.126	-0.312	0.056	0.057	-166.49	71.965
-0.014	0.16	-0.515	-0.563	-195.59	72.005
-0.099	1.039	0.126	-0.007	-266.67	72.104
0.117	-0.177	0.322	0.325	-143.34	71.933
-0.039	-0.302	0.424	0.455	-247.2	72.077
-0.116	0.917	0.755	0.793	-228.82	72.05
-0.019	-0.673	-0.131	0.001	-270.12	72.109
0.187	-0.425	0.728	0.883	-14.45	71.757
0.108	0.134	0.496	0.523	-83.59	71.851
0.137	0.512	-0.171	-0.317	-6.52	71.746
0.022	0.154	-0.405	-0.485	-231.21	72.055
0.148	-0.017	0.435	0.503	-70.81	71.833
-0.15	-0.512	0.161	0.166	14.79	71.718
-0.306	1.344	-0.641	-0.722	-267.21	72.104
-0.07	0.54	0.811	1.011	80.07	71.629
-0.124	-0.115	-0.306	-0.436	-154.14	71.948
-0.097	0.457	0.402	0.419	-179.44	71.983
0.084	-0.026	0.436	0.538	-226.58	72.05
0.027	0.102	0.035	0.128	-212.56	72.029
-0.228	0.645	-0.212	-0.351	-202.27	72.014
-0.154	0.669	0.656	0.716	-139.1	71.927
-0.024	0.41	-0.768	-0.851	-246.42	72.076
0.059	0.274	0.299	0.216	-163.12	71.96
0.058	-0.309	-0.839	-1.021	-77.57	71.842
-0.221	0.973	-0.598	-0.672	-218.56	72.036
0.163	-0.347	0.392	0.337	-111.82	71.89
0.108	0.456	0.139	0.119	-37.88	71.789
0.217	-1.115	-0.431	-0.505	-262.92	72.098
0.073	-0.5	-0.833	-0.93	-70.86	71.834
-0.128	-0.809	0.162	0.087	30.27	71.697
-0.073	-0.152	-0.61	-0.635	-84.41	71.852
0.098	-0.065	0.516	0.556	-266.54	72.104
0.056	-0.609	-0.597	-0.65	-263.27	72.099
0.136	0.836	0.128	0.025	43.76	71.679
-0.059	0.005	0.702	0.784	-74.45	71.839
0.014	-0.473	0.138	0.012	-227.47	72.05
-0.432	1.208	-0.771	-0.848	-222.42	72.041
-0.266	0.917	-0.679	-0.758	-140.71	71.929
-0.004	-0.139	0.195	0.263	-209.75	72.025
-0.156	0.687	-0.499	-0.594	-267.67	72.105
0.013	0.413	0.712	0.738	-94.03	71.865
-0.089	0.57	0.644	0.709	-179.2	71.982
-0.141	-0.281	-0.136	-0.309	-47.44	71.802
0.105	-0.485	-0.357	-0.482	-256.6	72.091
0.208	-0.584	0.694	0.845	-104.85	71.88
0.023	-0.166	-0.009	-0.082	-198.13	72.009
0.034	0.468	-0.302	-0.183	-226.66	72.048
0.035	0.352	-0.981	-1.137	27.11	71.701
-0.14	0.557	-0.809	-0.844	-109.16	71.886
0.047	0.112	-0.33	-0.234	-193.16	72.003
0.0	-0.405	0.883	1.018	-22.28	71.767
0.142	-0.045	-0.055	0.002	-101.18	71.875
-0.026	0.455	-0.959	-1.187	42.86	71.679
-0.014	0.163	-0.699	-0.733	-254.46	72.086
0.211	-1.208	0.275	0.153	-257.24	72.09
-0.115	-0.447	-0.17	-0.255	-39.07	71.79
-0.098	-0.115	-0.23	-0.383	-258.99	72.093
0.008	-0.134	0.506	0.434	-169.84	71.97
-0.19	1.305	0.006	0.016	-269.12	72.107
0.301	-0.782	0.402	0.334	-134.54	71.921
0.15	-0.493	-0.188	-0.161	-165.76	71.964
-0.243	1.086	-0.116	-0.027	-232.31	72.056
-0.097	0.124	0.366	0.285	-148.45	71.94
0.016	-0.334	-0.343	-0.411	-230.75	72.054
0.083	-0.066	0.424	0.469	-172.86	71.974
0.089	0.152	-0.344	-0.38	-260.0	72.094
-0.084	-0.221	0.268	0.185	-117.42	71.897
-0.141	0.887	-0.705	-0.675	-180.24	71.983
-0.046	0.646	-0.341	-0.451	-259.62	72.095
0.228	-0.754	0.246	0.132	-174.49	71.976
0.015	0.427	0.71	0.726	-87.7	71.856
0.064	-0.563	-0.406	-0.328	-195.97	72.006
0.015	-0.504	-0.741	-0.786	-146.63	71.937
-0.2	0.799	0.865	1.087	-1.25	71.739
0.186	-0.518	-0.511	-0.609	-142.6	71.932
0.011	0.289	0.65	0.679	-261.69	72.097
0.037	-0.308	-0.74	-0.863	-131.22	71.916
-0.168	0.396	0.113	0.346	-219.01	72.037
0.011	-0.39	0.492	0.482	-174.32	71.976
-0.104	0.336	0.564	0.484	-161.56	71.958
-0.308	1.044	0.814	0.957	-105.04	71.88
0.104	-0.93	0.46	0.555	-286.1	72.131
0.062	-0.294	-0.76	-0.912	92.62	71.612
-0.016	0.006	0.839	1.035	84.19	71.623
-0.136	-0.7	-0.017	0.11	23.52	71.706
0.19	-1.001	-0.662	-0.699	-197.52	72.007
0.068	-0.55	-0.583	-0.668	-264.57	72.102
0.167	-0.472	0.692	0.807	-54.75	71.812
-0.071	0.129	0.809	0.969	46.2	71.675
0.021	0.092	0.77	0.896	-45.9	71.8
-0.043	0.786	-0.448	-0.484	-264.09	72.101
0.194	-0.246	0.509	0.539	-18.04	71.762
0.067	-0.294	-0.776	-0.936	-72.3	71.835
-0.68	1.888	0.22	0.271	-96.61	71.869
0.062	-0.036	-0.616	-0.551	-145.5	71.936
-0.019	0.464	-0.741	-0.795	-93.29	71.864
-0.175	0.506	-0.662	-0.784	-150.64	71.942
0.024	0.33	0.47	0.435	-155.12	71.949
-0.124	-0.134	0.138	0.227	-94.07	71.865
-0.047	0.001	0.814	0.874	-60.38	71.82
0.154	-1.112	0.271	0.166	-249.16	72.079
-0.107	0.445	0.269	0.139	-199.6	72.011
-0.098	-0.096	-0.817	-0.879	12.35	71.72
0.18	-0.391	-0.568	-0.69	-146.08	71.936
0.118	-0.231	-0.375	-0.414	-147.7	71.939
-0.148	-0.095	0.116	-0.035	-62.82	71.823
0.105	-0.733	-0.57	-0.618	-226.63	72.048
-0.076	-0.226	0.04	-0.156	-220.44	72.039
-0.062	0.707	0.498	0.496	-223.04	72.043
0.118	0.037	0.723	0.766	5.86	71.729
-0.184	0.953	0.872	0.964	-111.57	71.889
0.029	0.148	-0.677	-0.615	-156.6	71.951
-0.128	0.312	-0.122	-0.096	138.44	71.546
-0.264	1.0	0.429	0.492	-223.77	72.044
-0.258	0.689	0.531	0.574	-96.3	71.868
-0.106	0.059	-0.539	-0.64	-232.82	72.058
-0.046	0.064	-0.442	-0.345	-175.94	71.978
-0.029	-0.249	0.064	-0.036	-216.15	72.034
-0.066	0.572	0.866	0.95	-68.35	71.83
0.076	0.27	0.693	0.676	-21.16	71.766
-0.034	-0.039	0.751	0.87	-50.86	71.806
0.088	-0.72	0.243	0.164	-215.59	72.033
0.012	0.244	0.271	0.015	109.68	71.586
0.03	-0.141	-0.432	-0.436	-154.73	71.949
-0.157	0.944	0.236	0.232	-228.09	72.05
0.028	-0.447	0.833	0.851	-281.38	72.124
0.088	-0.892	0.463	0.437	-237.11	72.062
-0.019	-0.355	0.452	0.418	-161.84	71.958
0.029	-0.029	0.587	0.688	-221.93	72.043
-0.236	1.254	0.308	0.273	-247.93	72.077
0.227	-0.752	-0.099	-0.179	-188.19	71.995
-0.251	1.223	0.287	0.292	-259.53	72.094
-0.001	-0.393	-0.245	-0.357	-239.67	72.067
-0.014	0.313	0.454	0.515	-239.59	72.067
0.264	-0.905	0.731	0.768	-112.24	71.89
0.257	-0.919	-0.661	-0.687	-135.71	71.922
-0.218	0.945	-0.868	-1.022	-69.74	71.832
0.138	0.405	0.093	0.248	-13.47	71.756
0.105	0.292	-0.167	-0.274	-97.78	71.87
0.013	-0.548	0.677	0.75	-268.07	72.106
0.043	-0.072	0.196	0.32	-222.36	72.044
-0.129	-0.072	0.018	0.242	-124.23	71.907
0.116	0.319	0.077	-0.133	-42.74	71.795
0.041	-0.359	-0.388	-0.338	216.03	71.444
-0.1	0.385	0.468	0.547	-229.45	72.052
0.023	0.182	0.213	0.163	-184.46	71.99
0.144	-0.828	0.659	0.743	-241.91	72.068
0.12	0.416	-0.31	-0.285	-6.96	71.747
0.102	-0.402	-0.676	-0.769	123.39	71.57
0.063	0.234	0.335	0.377	-245.79	72.075
-0.032	0.593	-0.613	-0.624	-182.62	71.987
-0.187	1.136	0.416	0.405	-240.04	72.066
-0.01	0.592	0.547	0.497	-199.93	72.011
-0.311	0.885	-0.556	-0.511	-125.71	71.909
0.019	-0.096	0.787	0.94	-116.8	71.896
0.091	-0.137	-0.628	-0.72	-105.74	71.881
0.019	-0.345	0.592	0.641	-236.74	72.062
0.261	-1.167	0.527	0.474	-215.64	72.032
0.025	-0.329	0.544	0.596	-241.01	72.068
-0.056	0.406	-0.65	-0.693	-267.93	72.105
0.092	-0.22	0.211	0.069	-196.24	72.006
-0.059	0.058	-0.051	-0.17	-190.57	72.0
0.023	-0.726	-0.405	-0.308	-233.05	72.057
0.107	-0.276	-0.711	-0.699	-94.84	71.867
-0.047	0.403	0.077	0.213	-231.3	72.056
0.087	0.267	0.167	-0.018	-113.43	71.892
0.171	-0.125	-0.533	-0.646	-51.49	71.807
0.231	-0.557	0.265	0.339	-146.93	71.938
-0.171	-0.439	0.303	0.397	32.78	71.693
0.144	-0.417	0.712	0.812	-34.48	71.784
-0.074	-0.113	-0.048	0.014	-175.7	71.978
-0.164	0.043	-0.108	-0.342	-107.3	71.883
0.007	0.144	0.561	0.555	-125.71	71.909
-0.12	0.606	0.838	1.0	-11.28	71.753
-0.093	-0.135	0.209	0.331	-189.59	71.997
0.17	0.516	-0.179	-0.248	47.79	71.673
-0.098	-0.06	-0.116	-0.278	-253.19	72.086
0.105	-0.113	-0.263	-0.346	-180.26	71.984
0.309	-0.881	-0.44	-0.364	-142.82	71.932
-0.199	0.861	-0.104	-0.055	-201.05	72.013
-0.072	0.365	-0.735	-0.815	-68.91	71.831
0.099	0.274	-0.381	-0.328	-44.09	71.797
-0.133	0.238	0.718	0.863	-57.94	71.816
-0.234	0.828	-0.7	-0.76	-97.41	71.87
